repeat,repeat_seed,fold_seeds,acc,f1,auc,precision,recall
1,42,"[4200, 4201, 4202, 4203, 4204]",0.7985754985754985,0.8415584415584416,0.8575534759358288,0.800687994496044,0.8882352941176471
2,43,"[4300, 4301, 4302, 4303, 4304]",0.8136752136752137,0.85234360410831,0.8636229946524063,0.8147619047619049,0.9014705882352942
3,44,"[4400, 4401, 4402, 4403, 4404]",0.7988603988603988,0.8436164105281752,0.8574197860962567,0.7947222222222223,0.9014705882352942
4,45,"[4500, 4501, 4502, 4503, 4504]",0.813960113960114,0.855149820667062,0.8544251336898396,0.8345098039215685,0.8882352941176471
5,46,"[4600, 4601, 4602, 4603, 4604]",0.8210826210826211,0.8585701553348611,0.8714906417112299,0.8223856209150326,0.9007352941176471
6,47,"[4700, 4701, 4702, 4703, 4704]",0.762108262108262,0.8209445181581405,0.8433756684491979,0.7556937799043062,0.9022058823529411
7,48,"[4800, 4801, 4802, 4803, 4804]",0.7843304843304842,0.8311425061425062,0.8726604278074866,0.7948039215686273,0.8757352941176471
8,49,"[4900, 4901, 4902, 4903, 4904]",0.8284900284900283,0.8638030888030889,0.8619652406417112,0.8452756892230576,0.9007352941176471
9,50,"[5000, 5001, 5002, 5003, 5004]",0.7834757834757834,0.832235669387372,0.844211229946524,0.7837535014005602,0.8882352941176471
10,51,"[5100, 5101, 5102, 5103, 5104]",0.8062678062678061,0.8492676710323769,0.830955882352941,0.7963659147869675,0.9132352941176471
