id,R_1,G_1,B_1,R_2,G_2,B_2,R_3,G_3,B_3,R_4,G_4,B_4,R_5,G_5,B_5,R_6,G_6,B_6,R_7,G_7,B_7,R_8,G_8,B_8,label
73,-3.900108,-3.572122,-3.536788,-2.880506,-3.242545,-2.934167,12.889737,1.558912,-0.688057,0.734535,-2.084445,-3.846559,-5.912837,-5.150876,-5.333126,-2.775711,-0.587008,8.016114,-14.050364,-4.381793,-1.433743,-8.876804,-4.752036,-3.46671,0
75,-0.971465,-0.129842,0.104589,0.326495,-0.46495,-0.261195,4.689982,-1.807453,-2.491065,-1.328907,-2.295864,-2.304886,2.639227,2.886917,2.04383,-10.173558,-7.956293,-1.967038,-9.140064,-1.357896,0.939441,-6.054422,-2.013883,-2.144974,0
76,-1.219245,-0.809684,-0.401635,0.383235,-2.354984,-1.429505,11.894939,-1.300907,-2.290827,4.235529,0.548464,-5.991068,-6.869647,-6.048503,-6.878912,-27.255402,-24.503103,-4.625047,-27.688135,-6.232716,2.20549,-25.454145,-10.406815,-2.828873,1
77,1.607661,3.450919,3.580253,0.872546,0.906522,0.924249,13.662241,2.775464,-0.79832,7.937379,5.382315,4.117917,-8.478476,-5.938435,-7.694999,-2.618178,-1.4956,-1.57017,-1.162013,0.370492,1.942034,-14.387023,-9.094645,-6.66511,1
78,6.744064,8.475167,9.216422,-11.059356,-10.967096,-10.82349,6.918194,0.109826,-1.240602,-4.306818,-6.235531,-3.690683,11.30497,9.745339,9.59905,-11.738161,-10.071405,-5.648988,-17.534058,-8.14494,-4.897583,-4.723463,-0.964465,-1.453303,0
79,-5.045183,-4.715369,-4.710056,-1.995229,-1.934806,-1.915495,6.378079,-1.514972,-2.61829,10.449362,8.395189,6.259967,-9.95929,-7.318971,-8.434279,-16.151607,-12.947974,-4.015845,-16.69337,-4.519294,-0.774967,-5.966028,1.025582,2.333667,1
80,-1.700107,-1.045098,-1.437534,-0.709863,-0.511817,-0.860729,7.018022,-1.583281,-2.344874,9.696036,7.035012,4.774901,8.543969,6.266339,5.897521,-7.592279,-5.100533,-2.447819,-20.394809,-10.158997,-6.738856,-15.988762,-9.816927,-7.501779,1
81,4.670223,5.557566,6.065663,-1.925594,-2.271749,-2.539918,8.661317,-1.410452,-1.259885,2.833218,1.616267,-0.099206,4.975148,3.633763,2.8723,0.378306,1.156331,3.482476,-2.546813,-0.547197,-0.296775,-0.192561,-0.259347,-0.815071,1
82,1.252416,2.189159,2.292343,2.466108,2.284678,2.448278,6.646955,-0.866761,-2.12895,0.468219,-0.486611,-1.568107,2.716376,2.113759,1.444763,2.289857,2.986681,0.036473,0.357678,0.926322,-0.20728,0.066479,1.00363,0.473189,1
83,0.065112,0.692012,1.089549,1.622448,0.916475,1.098106,5.351339,-2.064675,-3.064235,1.607334,0.48097,-1.163712,2.291823,1.003156,0.870762,-1.423517,0.149857,-0.619985,-2.47193,-0.058453,-1.001905,-0.572274,-0.178084,0.062825,1
84,-0.110353,0.4439,0.560931,1.718411,0.54273,1.010097,5.378811,-0.495923,-1.060991,5.190429,2.415958,0.175796,0.619345,-0.285694,-0.489375,0.616212,1.343959,0.483573,-2.193871,-0.709346,-1.163834,-2.685556,-1.34446,-1.258196,1
85,-1.418123,-1.224436,-1.028226,1.620998,0.557542,0.886052,5.833549,-1.783222,-1.927091,4.191616,1.449488,-1.500517,-2.714137,-2.432882,-2.94355,-6.86227,-4.758225,1.283229,-14.185999,-5.09379,-2.366114,-5.22454,-1.58939,-1.85157,1
86,4.282786,5.415231,6.610997,3.688898,1.460116,1.665377,15.816402,1.528746,-0.40157,12.327393,8.040024,1.604433,1.548041,0.080738,-0.568544,-14.908904,-12.60239,2.73044,-15.463021,-2.513681,0.617149,-9.003634,-2.576738,-0.255292,1
87,1.258261,1.913983,1.62841,-0.598533,-1.189253,-1.098149,8.845108,0.374911,-0.512794,6.419928,3.246872,-0.009227,-1.008279,-1.622032,-2.474767,0.180265,0.913916,1.902052,-5.635901,-2.796291,-1.688789,-6.174171,-3.483358,-2.845442,1
88,2.486189,2.960988,3.731612,1.280087,0.777059,1.132634,7.084772,-0.283103,-1.636854,1.345238,0.030005,-0.749855,3.041789,1.812635,1.436707,-2.451811,-1.793455,-4.209605,-2.104418,-1.191945,-1.833451,-2.67695,-1.746386,-1.454558,1
89,2.212364,2.929241,3.478327,3.125846,2.571091,2.451336,9.521522,-0.014212,-1.480646,6.081583,3.273551,-0.78275,-2.303074,-1.639943,-2.571435,-14.001174,-11.805507,-0.849375,-8.693099,-1.833282,0.597557,-8.985848,-2.929535,0.020028,1
90,0.137205,-0.097504,0.199247,6.374876,3.848273,5.611326,7.819644,-0.795455,-2.362688,7.953383,3.844748,-0.16389,-0.764732,-1.382781,-0.880187,-21.423497,-19.091459,-2.285837,-18.226161,-6.801377,-2.08383,-16.244923,-5.862953,-1.121938,1
93,0.830387,2.12116,1.867784,1.790498,1.829765,1.770682,12.729275,1.979148,-0.092571,2.547436,1.224136,0.408087,3.277106,2.350308,1.299467,3.870756,4.741049,3.656276,-0.953414,1.306229,1.903138,-0.774746,0.764038,0.832604,1
94,-1.185016,0.124615,0.059799,2.346128,1.50394,1.839268,8.745788,-0.17371,-0.799764,-0.308867,-0.662475,-0.751884,1.599084,1.640085,-0.092841,11.979184,11.832112,5.090367,2.554899,2.190208,0.464489,0.87732,1.03231,0.361057,1
95,3.009269,3.361681,3.67432,5.671641,3.762154,4.636488,10.493116,-0.122202,-1.189513,5.249131,2.785847,-0.573332,-2.874531,-1.955554,-2.51515,-8.025012,-5.91734,2.011243,-15.200527,-4.558715,-0.34705,-13.722017,-5.813267,-2.103252,0
96,2.382884,2.684836,3.349545,7.765266,4.443736,6.887586,23.468005,2.979984,1.462564,11.027484,3.136799,-2.536047,-0.239129,-0.857986,-2.035628,-26.97589,-24.623207,1.060133,-31.995067,-14.503531,-2.514228,-40.420021,-16.890835,-1.811762,1
97,-1.374744,-1.425974,-0.964873,-0.329448,-0.99503,-0.328079,15.800675,-0.345738,-1.610941,2.550597,0.146521,1.10561,1.954649,1.212754,-0.389478,-9.723437,-7.710553,-1.665447,-5.164697,-1.448832,-0.950135,-6.358036,-1.236468,0.817943,1
98,2.013037,3.272808,3.507651,7.146944,6.235132,6.474579,12.178039,0.481156,-0.355316,5.020321,3.775544,3.655941,3.449027,2.885946,1.630956,1.211558,0.872356,-2.385272,-0.585607,0.33241,-1.00933,-0.767493,0.048694,0.561613,1
99,-1.344609,-1.627181,-2.042622,3.252455,2.195091,2.673508,14.576536,1.253516,-0.555874,-0.850335,-1.720052,0.880292,-1.635656,-1.502833,-2.777251,-15.259282,-12.687648,-3.264135,-14.173654,-6.318938,-2.46932,-9.140872,-2.542948,1.331449,1
100,0.842632,2.056908,1.323455,0.248831,-0.040613,0.068819,14.467849,2.992316,0.634674,1.593549,-0.093893,-0.453452,-0.735448,-1.035197,-2.841146,-5.855467,-4.866976,-0.599654,-4.751357,-0.709321,-0.867366,-6.856494,-2.805719,-1.01876,0
101,7.731052,9.184977,9.932865,11.905088,9.374712,10.411061,7.612879,-1.853646,-3.158507,15.649785,8.717509,-0.454801,8.464391,6.220534,5.20687,-23.276587,-22.549646,-5.056996,-23.097714,-7.775488,1.660219,-20.579223,-3.76934,3.966632,0
102,-1.663449,-2.157279,-2.19264,0.215666,-2.327939,-1.832174,7.195117,-1.325709,-2.613263,6.900656,2.397377,-2.145084,-3.807648,-3.824997,-3.503713,-14.960015,-13.225747,0.047442,-20.51365,-7.062658,0.177292,-31.901199,-16.365044,-5.931751,0
103,-3.700678,-3.866386,-4.787943,-2.047746,-4.833225,-4.259125,10.433625,0.047935,-1.614907,-2.711682,-6.93857,-8.969942,-3.901447,-3.927569,-4.503939,-13.479318,-11.425898,3.132841,-20.423627,-6.299925,0.912451,-26.17002,-11.214455,-1.83354,0
104,-1.887133,-2.219637,-2.708665,3.13547,0.460838,0.439099,10.872399,1.362552,-1.243725,11.979824,5.996962,-0.841107,2.208278,0.964044,0.183283,-17.82014,-15.690304,-1.398595,-20.168279,-7.801994,-2.744988,-22.612294,-7.843034,-1.139128,0
105,-1.898485,-2.317011,-2.340644,0.49837,-1.412034,-0.957558,9.429187,0.149867,-1.727196,9.823871,5.458826,1.238,-3.151026,-3.32757,-3.837168,-15.140696,-12.837331,1.143123,-21.753182,-9.588332,-3.750581,-21.136038,-6.517544,-0.903278,0
106,2.260527,2.362284,2.201837,-2.94124,-4.080768,-4.583158,14.29182,0.206062,-1.640033,2.854944,-1.218904,-5.47354,6.150192,4.548868,2.21322,-7.259049,-5.837104,0.564835,-10.021329,-3.639483,-2.41728,-11.397787,-3.380496,-0.743181,0
107,2.331528,2.2843,3.396945,5.177444,2.157382,3.48031,8.022313,-1.813537,-2.946146,15.829918,9.695408,1.981258,6.377031,4.94115,3.842961,-15.579248,-13.107733,2.439262,-18.941056,-5.955986,-0.095054,-19.259278,-7.358072,0.579277,0
108,2.15617,2.712568,2.21337,1.37889,-0.878271,-0.925642,7.096551,-2.089939,-3.426817,-1.699865,-5.392971,-6.48855,-6.211889,-6.291081,-6.096938,-13.165933,-10.352546,-1.001008,-14.426257,-6.368649,-3.712172,-10.466837,-2.146109,1.25543,0
109,3.66854,4.169601,4.488324,0.378857,-0.45722,-0.680969,10.238588,-0.632932,-1.674377,11.358254,6.14217,1.207731,-2.954433,-2.748532,-3.370217,-6.666694,-3.954148,2.532508,-15.846138,-7.009897,-4.205648,-12.439511,-4.452078,-0.546542,0
