id,0,1,2,3,4,5,6,7,label
1,1.541764,9.107887,27.198053,12.289266,8.308938999999999,5.192252,14.077757,11.086859,1
2,5.410108,4.345675,24.54021,25.166679000000002,1.712763,29.960359999999998,41.630680999999996,31.848505,1
3,2.0768400000000002,4.463564,25.751858000000002,16.220638,5.616596,24.379069,19.841834,19.71717,1
4,2.019045,3.18004,16.660504,21.205292,0.7592750000000001,8.77168,32.606167,7.331583,1
5,2.110112,8.815267,25.019653,4.137841,9.150416,8.645581,16.259884,16.777736,1
6,3.535314,5.224158,25.888140999999997,14.163922,7.650635,14.617058,17.055217,20.38044,1
7,2.043075,3.6438479999999998,23.525707999999998,6.440137,2.449236,28.229599999999998,25.398172,27.664692000000002,1
8,2.4203609999999998,7.69728,22.297027,4.268785,2.2327719999999998,17.918466,24.425938,14.451569,1
9,3.187518,1.9772750000000001,18.298264999999997,3.926095,1.44803,11.530304000000001,14.638884000000001,13.783432000000001,1
10,0.615189,4.178618,17.890214999999998,17.370454,9.569453,21.256644,12.684401,8.074464,1
11,7.006731,8.871765,15.165505,11.809493,2.524342,5.69341,16.423676,3.006968,1
12,1.144752,2.699078,15.117417,19.80169,2.251319,33.49825,31.693,19.45365,1
13,4.256759,1.6007379999999998,19.276897,6.740241,3.132025,18.201648,29.380087000000003,14.830760999999999,1
14,4.218216,3.579839,17.185931,4.949921,7.556712,20.842756,21.02248,27.106803,1
15,4.7401089999999995,0.73472,19.907507,4.154379,1.988084,8.529808000000001,25.099743,12.012203,1
16,5.804637,6.892044,18.140395,10.51997,7.697928,63.490558,46.56734,22.075657,1
17,3.663309,2.9954240000000003,13.552471,18.834826,1.702961,53.541073000000004,34.127591,23.741586,1
18,6.872881,3.064373,8.795276,15.926922000000001,1.49036,7.541518,10.520661,12.234988999999999,1
19,0.824564,11.199024,14.359384,19.063425,11.051135,14.963201,25.655918,7.5471509999999995,1
21,13.000905,5.703925,12.760164,18.649108000000002,2.153022,46.671239,27.54983,32.316542,1
22,1.934364,10.841462,16.502115,27.446227999999998,5.971355,75.488463,42.379819,45.688992,1
23,7.138383,8.755745,8.844635,9.335879,9.17336,15.573053,16.512207,13.660078,1
24,11.679485,1.038988,11.933354,5.004762,4.888799,15.361763,9.239491,7.910767,1
25,2.819533,2.634407,12.271358,6.663456,4.173911,17.953505,16.652569,6.217185000000001,1
26,4.331437,14.349951,13.067682999999999,25.288918000000002,17.25544,46.962755,52.057685,21.57818,1
27,3.559764,3.5376450000000004,14.495098,14.974975,1.732219,15.233428,27.350568,14.301216,1
28,8.039783,2.468829,11.304806000000001,18.026867,4.163235,28.900775,11.924865,5.335712,1
29,2.631142,1.9437159999999998,15.359281999999999,22.585745,2.527979,38.633935,31.207151000000003,15.734429,1
30,4.288226,1.239968,11.930653,17.006423,0.795933,8.600666,8.848824,4.513243,1
32,13.126504,6.207364,12.701679,1.4289589999999999,4.331326,11.586708,11.10707,12.350766,1
33,5.887778,9.23412,12.655094,9.320697000000001,4.14403,11.944223000000001,14.481982,8.914250000000001,1
34,7.907171,19.918635000000002,14.640836,40.380498,11.126358,49.282331,20.054135000000002,21.933138,1
35,2.8909409999999998,12.82058,18.073586000000002,17.131467999999998,2.727194,7.510947,17.010389,23.565557,1
36,5.217973,12.363151,20.284524,8.364806999999999,22.195351000000002,37.011373000000006,32.19169,30.069644999999998,1
37,2.640273,3.997878,15.936407,7.08254,6.558141,30.106321,51.436354,26.012323000000002,1
38,3.724703,8.751840999999999,12.810032999999999,8.075568,11.121466999999999,15.954353,27.670489,18.498292,1
39,1.4940419999999999,10.488557,11.422039,2.390288,7.810411,12.772632999999999,12.552657,11.722411,1
40,1.061447,1.821441,12.72782,5.050271,6.097125,23.861527,21.290965,17.936608,1
41,4.614536,1.254688,11.892763,5.963262,18.917994,29.064336,21.358337,19.053877999999997,1
43,8.000999,8.815004,12.595847000000001,19.394452,1.08473,50.954474,45.659787,41.449600000000004,1
44,0.749989,2.410953,9.493238,20.697323,7.953106,34.173438000000004,22.987516,21.129756,1
45,6.254507,1.64125,10.900046,1.585616,2.7904670000000005,13.599502,11.413565,8.752794999999999,1
46,6.839764000000001,8.170506,15.214269,11.488588,12.08619,50.508588,36.693009,42.069378,1
47,1.153813,11.442198000000001,13.366353,6.490551,6.419119,39.783384000000005,33.477176,29.02375,1
48,4.365736,5.029933,7.1718020000000005,13.480978,2.7991270000000004,7.613970999999999,1.5857109999999999,5.117045,1
49,2.514207,3.775414,3.0301750000000003,13.482923000000001,2.0875440000000003,4.625888,5.09634,2.670639,1
50,1.8052519999999999,3.9344710000000003,8.214298,18.588853,2.257103,4.156871,7.437277,3.3533500000000003,1
51,7.564809,4.345427,15.717285,11.494398,11.961193999999999,44.594642,41.934339,28.034689,1
52,1.10151,4.671589,13.491788,18.848983,10.381322,38.698636,34.060655000000004,32.889761,1
53,1.310297,1.028775,9.668443,7.9863360000000005,7.4675139999999995,9.140402,16.572725,13.225009,1
54,1.629316,3.038756,9.352796,9.4658,5.992713,27.179897,26.525869,17.822092,1
55,3.1976259999999996,3.834584,10.373791,29.693591,3.713827,26.631824,25.606421,18.966382,0
56,2.637663,1.810359,12.532364999999999,5.667574,1.6269,18.72569,23.307659,13.482264,1
57,5.132299,1.472807,10.961041999999999,6.794562,13.591101,13.213645,16.318532,8.145356,1
58,2.108912,6.485731,4.815554,12.157521,9.237191,8.873026,10.670009,10.272878,1
59,5.806838,2.656695,12.679091000000001,16.272438,8.449549999999999,34.988471,29.531649,19.306146,1
60,6.259017999999999,1.017017,7.8047070000000005,4.228726,5.292248,11.328017,16.067012,16.432803,1
61,9.510152999999999,8.410657,13.616445,18.161687,3.679904,13.014431,24.220958,8.156879,0
62,10.648724999999999,34.379185,17.521945000000002,12.312897,41.685607000000005,6.909859000000001,12.784272,3.355044,0
63,14.193864,17.197269,14.735313,7.8085249999999995,21.942389,5.88291,23.116565,15.434557,0
64,10.212332,13.530501000000001,12.064624,8.92801,6.078454,26.056406,17.022253,11.051876,0
65,9.800705,22.605926,9.65474,19.643167,10.374446,11.912124,18.120206,10.30077,0
66,7.823501,6.469484,17.312796,9.926383999999999,3.936226,19.371665,26.082482,12.729485,0
67,22.142654999999998,21.42597,9.121982,11.501649,7.284472,24.673809,26.689691,18.759452,0
68,15.305558000000001,17.489914,6.973545,16.050458,7.275087,4.226447,10.048017000000002,8.60381,1
69,19.887105000000002,18.99999,12.284621000000001,7.932199,23.840833,35.269757999999996,40.409761,30.349666,0
70,3.036241,1.717422,11.017062000000001,6.563024,24.030745,25.37867,22.498721999999997,24.604202,0
71,20.907189,19.057138000000002,12.018157,17.30169,5.385577,6.448496,17.522823,3.987716,1
72,13.859567,16.311298999999998,15.429106,11.379659,8.639901,50.034299,31.246786999999998,38.057010999999996,1
73,11.009018,9.057217999999999,15.136706,6.665539000000001,16.396839,11.378833,19.8659,17.09555,0
75,1.205896,1.05264,8.988499999999998,5.929657000000001,7.569974,20.096889,11.437401000000001,10.213279,0
76,2.430564,4.167724,15.486673000000001,10.775061,19.797062,56.383552,36.126341,38.689833,1
77,8.638833,2.703317,17.236025,17.437611,22.11191,5.683948,3.474539,30.146777999999998,1
78,24.435653000000002,32.849942,8.268622,14.233032,30.649359,27.458554,30.576581,7.141230999999999,0
79,14.470607999999999,5.84553,10.511341,25.104518,25.71254,33.115426,21.987631,9.325277,1
80,4.182739,2.082409,10.946177,21.505949,20.707829,15.140631,37.292662,33.307468,1
81,16.293452,6.737261,11.331654,4.548691,11.481211,5.017113,3.390785,1.266979,1
82,5.733918,7.199064,9.642666,2.5229369999999998,6.274898,5.313011,1.49128,1.543298,1
83,1.8466730000000002,3.637029,10.480249,3.2520160000000002,4.165741,2.193359,3.5322880000000003,0.813183,1
84,1.1151840000000002,3.271238,6.935725,7.782183,1.394414,2.4437439999999997,4.067051,5.288212,1
85,3.6707850000000004,3.0645919999999998,9.543862,7.141621,8.090569,12.903724,21.645903,8.6655,1
86,16.309014,6.8143910000000005,17.746718,21.97185,2.197323,30.241734,18.593851,11.835664,1
87,4.800654,2.885935,9.732813,9.676027,5.105078,2.996233,10.120981,12.502971,1
88,9.178789,3.18978,9.004729000000001,2.125098,6.291131,8.454871,5.129814,5.877894,1
89,8.619932,8.148273,11.016379999999998,10.137884,6.514452,26.656056,11.123938,11.935411,1
90,0.433956,15.834475000000001,10.977787,11.962021,3.0277000000000003,42.800793,27.111368,23.229814,1
93,4.819331,5.390945,14.800994,4.179659,6.926881,12.268081,4.162781,2.371388,1
94,1.3694300000000001,5.689336,9.719261999999999,1.723226,3.33201,28.901663,5.209596,2.270687,1
95,10.04527,14.070283,11.804831,8.60831,7.345235000000001,15.953595,20.106292,21.638536,0
96,8.417265,19.096588,27.910553,16.70033,3.132743,52.65923,49.012826,59.122617999999996,1
97,3.765591,1.6525569999999998,17.757354,3.8027279999999997,3.556881,19.099437,7.563664,8.412447,1
98,8.793496000000001,19.856655,13.014511,12.451806,7.965929,4.4691860000000005,1.9273470000000001,1.3778000000000001,1
99,5.014412,8.121054,16.385926,3.4506789999999996,5.91574,31.211065,22.961912,13.015269,1
